,y_test,prediction
7503,1743.0644,1345.2925981916742
2957,356.8688,780.0685318248469
7031,377.5086,817.20762712193
1084,5778.4782,4228.544372110398
856,2356.932,3276.5249942371092
4304,865.54,575.0222747857491
2132,4613.994,4752.424128573992
1385,2410.8618,2050.5552474859983
5239,1948.1308,1393.7394250872765
6516,1937.478,2783.6368960971745
4509,210.3928,-218.45367769090387
1670,255.0014,2089.6462123706856
4313,4541.4218,3873.3003203720373
1623,657.8104,949.2579543011122
5220,578.5802,828.396754979593
6753,4229.1616,4271.599247243912
315,1267.0174,1893.1487283497054
3524,2388.8904,1754.4724948500789
7716,1797.66,1910.7459253340814
2083,4447.544,3239.312516193634
4463,2570.6538,3196.839200623537
4411,1779.6834,2691.0565386128387
2112,4211.185,2957.2465527438503
1057,3912.2408,2443.4783648688117
868,2366.919,4166.843328129327
700,1298.31,2263.6508255501453
6903,149.805,676.1943248164052
4087,3916.2356,3727.3129307559375
4562,2065.3116,3124.0536457469047
8222,3029.39,3825.461011025988
7660,788.3072,890.570223646439
5571,2566.659,2824.241177622132
8407,575.2512,2325.329582848916
4983,1464.76,3045.2172106457597
7703,617.8624,590.1515282953295
1183,792.302,1422.7594848758365
794,505.3422,868.1574403472908
5903,1470.0864,1965.6775917499958
8468,467.3916,1357.065759152023
6223,551.2824,2962.0760064097826
7250,154.4656,-678.681087370897
7145,885.514,2136.8599987414677
2485,633.8416,1513.4496829582736
789,1783.6782,1570.9518402913523
233,2603.278,2543.066686368175
8242,605.878,1429.7544124088092
429,848.895,843.7214941487102
1978,447.4176,1004.8101057824172
3092,3315.0182,4068.2033245842895
1281,4264.449,2096.3196775091988
2115,934.7832,874.6346952058367
6250,3178.5292,2309.5373682633044
17,718.3982,1055.056161774215
3204,311.5944,-1051.8647033369302
8115,579.246,667.160091723284
6706,1506.0396,1920.2281025638265
453,978.726,3144.110559500729
2647,1038.648,2144.8680852947823
5706,701.7532,685.136220511485
6280,2614.5966,3860.0384168698247
7933,552.614,994.4406438422116
6592,170.4448,719.8959389555295
5487,1366.2216,2490.4698372334888
239,241.6854,2752.529035713539
2522,2396.88,3379.0806249001694
7787,2652.5472,2700.0324104391966
5525,830.9184,869.5484591563516
3238,4950.8888,3608.381259246025
8325,771.6622,730.679036930536
212,2636.568,4304.471097082261
1427,1347.5792,1046.4041660083194
5414,150.4708,483.8291074948364
6119,4566.0564,4072.880144377671
7814,1311.626,2184.793882153744
6758,1508.037,1653.0670530435107
