,y_test,prediction
7503,1743.0644,1345.1270391157523
2957,356.8688,778.8885506650421
7031,377.5086,815.7841911475841
1084,5778.4782,4228.9772904362035
856,2356.932,3271.997062263981
4304,865.54,577.1612928566691
2132,4613.994,4753.191203405239
1385,2410.8618,2050.0938666947873
5239,1948.1308,1393.9876204461066
6516,1937.478,2783.8184195622257
4509,210.3928,-220.21358718475688
1670,255.0014,2090.561025708229
4313,4541.4218,3872.736929160315
1623,657.8104,947.3640804774423
5220,578.5802,828.3402017687387
6753,4229.1616,4269.0589860754135
315,1267.0174,1895.1520151267387
3524,2388.8904,1755.5107256653814
7716,1797.66,1912.652803910069
2083,4447.544,3240.644205332239
4463,2570.6538,3198.0847529562175
4411,1779.6834,2688.6382953293573
2112,4211.185,2957.2905316853985
1057,3912.2408,2445.5593571267505
868,2366.919,4170.155224250722
700,1298.31,2263.123440405031
6903,149.805,668.8646495454691
4087,3916.2356,3726.5021744560468
4562,2065.3116,3122.603020639999
8222,3029.39,3817.3082016951985
7660,788.3072,892.1088838639131
5571,2566.659,2825.4180962723262
8407,575.2512,2328.652617227572
4983,1464.76,3040.8332624457526
7703,617.8624,590.1998707605701
1183,792.302,1421.9795271008752
794,505.3422,869.6450749894799
5903,1470.0864,1967.3771558571893
8468,467.3916,1355.9247542558535
6223,551.2824,2958.7739065383666
7250,154.4656,-669.4530807450717
7145,885.514,2130.5760618230033
2485,633.8416,1513.214027015868
789,1783.6782,1572.2899337385038
233,2603.278,2539.234296089212
8242,605.878,1430.447435725288
429,848.895,842.8070050732803
1978,447.4176,1002.3390982886348
3092,3315.0182,4068.440703820999
1281,4264.449,2093.233120925326
2115,934.7832,874.8171689962495
6250,3178.5292,2309.1238563386137
17,718.3982,1047.3420448102133
3204,311.5944,-1051.118626222361
8115,579.246,669.5752209465326
6706,1506.0396,1921.8027730179997
453,978.726,3146.3357112462836
2647,1038.648,2148.059117252629
5706,701.7532,687.992451380021
6280,2614.5966,3859.8965163495086
7933,552.614,996.1639039058283
6592,170.4448,724.116007612936
5487,1366.2216,2487.5582897269496
239,241.6854,2750.4477726101827
2522,2396.88,3377.97879534104
7787,2652.5472,2697.5967018299916
5525,830.9184,854.5558421155897
3238,4950.8888,3609.335178150051
8325,771.6622,730.5315671346729
212,2636.568,4302.3953821128
1427,1347.5792,1046.014842276336
5414,150.4708,483.450216074021
6119,4566.0564,4072.7519374804297
7814,1311.626,2184.6373436654535
6758,1508.037,1649.1099179381313
2684,1335.5948,1331.005583352133
1313,1901.5248,2887.0739863057297
33,2174.5028,1549.3211934583614
5780,1379.5376,2912.2360107814634
2999,2141.2128,2904.717137352972
3428,552.614,934.4900943732792
3231,3266.4148,3841.8298756134263
5744,3920.2304,3985.560636652035
5382,3020.0688,2857.109320064335
7433,3896.2616,2943.5935218137697
318,3877.6192,2362.335624182978
1328,5321.0736,3457.602371924321
221,1416.8224,1515.9850728809845
4879,2752.4172,3432.585742140311
8263,4036.7454,3029.5099874696293
5990,1547.3192,5004.6203081474
7426,1406.1696,1134.106527700536
8032,1194.4452,931.3725153565351
4525,1895.5326,2459.779594835083
7652,1062.6168,913.0186152053967
1195,1166.4816,968.5314863581467
766,379.506,1069.8900341105582
2246,293.6178,736.2471774020712
2441,1332.9316,1303.805039784523
4925,47.2718,-1227.7640413091458
3050,3761.77,2407.1013761909107
625,1691.7978,3891.0130480945727
7203,3616.6256,3832.789769881361
730,886.8456,811.233275577849
2067,1518.024,2435.941709927492
1598,1225.072,1168.5094781987227
7623,739.038,1293.1202164141014
2372,3803.0496,2899.3716057643496
7681,575.2512,780.6611172566144
3244,722.393,1735.953126511323
3085,607.2096,531.5120990603824
5213,3251.7672,2395.6747356741857
457,1957.452,1592.711360338777
4690,966.7416,2982.4055086554845
4560,181.0976,941.5518852120109
940,735.709,729.7886713963645
2589,6796.4864,5159.151895503946
3768,207.0638,1430.1730724165075
4561,2183.824,1785.2461863738201
7071,5070.7328,2893.420863891691
4840,1161.1552,2010.3266265021916
1323,3374.2744,3793.3168948011817
8415,2490.092,2363.9858214643905
8260,410.1328,1064.4477507071704
6304,5163.9448,2901.1052263733277
6379,2013.3792,1865.96087344844
4693,197.0768,-275.57131403711156
1803,3677.2134,2888.0309232271975
6610,758.3462,746.5280099528861
4094,7064.8038,4228.652682694958
7567,395.4852,1300.6011907552472
5064,2386.2272,1269.780673592601
8456,487.3656,2042.9422015252114
5653,3769.7596,3219.562299693076
7722,1593.9252,1905.7408318281746
4721,1145.176,2348.3259828214677
2473,367.5216,2038.6494047536917
7506,2736.438,2887.9740409850647
2521,4234.488,2949.6992390326186
19,2748.4224,3611.6579301042602
2648,6306.4576,4616.137710974875
2802,3644.5892,4183.3243666514145
2301,1864.24,1643.4023141002326
8267,2567.3248,2650.4304505372534
1090,1765.7016,2449.3904157764046
2199,2616.594,2870.4834651398414
6850,3016.7398,2144.2917741688516
4745,3361.6242,3283.4758825569816
5405,2929.52,3014.0581641517565
1888,2984.1156,1885.9550229047147
833,181.7634,938.5515152960986
1111,705.748,731.6349497422643
3412,1168.479,968.8002529775576
3590,6641.355,3189.3539392182265
7309,193.082,-337.70343607228625
3836,1743.0644,3070.491983907614
487,75.2354,-826.0551524878412
6569,7105.4176,3999.064800487725
3143,1845.5976,2075.632780859476
2517,1326.2736,2691.364381134654
3948,131.8284,-1323.1543257935778
8,1076.5986,1663.5668498569282
1721,3261.7542,2190.827817649044
2988,843.5686,1982.603610741737
5209,1948.1308,3079.1281488892014
6663,199.74,493.52764910349924
965,5469.547,4219.847856867955
623,647.8234,1257.0883199509185
5840,1446.1176,1727.6566134503573
1438,1885.5456,1908.3337464192466
7854,3635.268,2888.235133056739
5785,1584.604,2071.501149262236
6382,2059.9852,2088.425895259796
3114,459.402,1754.5519083987285
1606,1904.188,3113.915763633081
6214,1410.8302,3221.8993901388367
5909,2404.2038,1353.5227970643364
1559,3554.7062,3003.3712386677967
1593,4514.124,3674.199671654322
1277,874.8612,884.1449999324635
7759,1775.6886,2094.1984647647896
712,226.372,-1108.439353204003
2874,1518.024,1632.4472626110514
811,2868.9322,2966.7146190857434
3358,2460.7968,1841.9538679605541
5466,3199.169,3170.3825615995106
5509,181.0976,955.5783032585465
461,759.012,712.8197243965557
5090,1895.5326,3704.467895395904
1731,834.9132,714.5046826218279
2698,1395.5168,1434.3265650449289
6629,2418.1856,2535.983015424455
8326,3099.9648,3074.526143937097
1075,809.6128,891.8685833770127
5953,3383.5956,1736.187733746419
4660,952.7598,1708.8935139812686
7450,2407.5328,2474.5445519908963
7547,1970.768,1668.6867713363588
360,898.83,2581.0520346983817
6422,1310.2944,1836.7674465128969
3541,5522.811,2650.9702708148507
8070,868.869,1747.1852111333699
7947,1556.6404,3585.576632243168
5679,2596.62,3106.5382553557893
3350,3281.0624,1785.1877251423725
6839,2433.499,2263.5616740467817
879,1155.8288,648.5699071511278
7542,785.644,1406.5975619782384
2835,1480.7392,1597.8326578565684
1320,3582.004,2805.5534740131097
4786,3331.6632,3074.8696978743706
3002,591.8962,1391.427327297986
3349,1006.6896,1393.58380039677
5483,524.6504,1918.549960800689
8187,864.2084,1380.7185153666107
