,y_test,prediction
7503,1743.0644,710.2488079999999
2957,356.8688,914.7293040000005
7031,377.5086,743.2258819999993
1084,5778.4782,4851.558098
856,2356.932,1968.8105480000004
4304,865.54,468.85635999999994
2132,4613.994,5498.2030319999985
1385,2410.8618,1553.3513480000004
5239,1948.1308,1286.085912
6516,1937.478,3074.3048679999997
4509,210.3928,207.25022399999995
1670,255.0014,532.014148
4313,4541.4218,5849.365926000002
1623,657.8104,770.43047
5220,578.5802,802.6818220000004
6753,4229.1616,6537.556779999998
315,1267.0174,1357.899099999999
3524,2388.8904,1798.2126139999998
7716,1797.66,2895.3777760000016
2083,4447.544,3540.830928
4463,2570.6538,2990.1743800000004
4411,1779.6834,2572.2517200000007
2112,4211.185,3395.659895999998
1057,3912.2408,2617.819071999999
868,2366.919,3218.503831999998
700,1298.31,1298.0170480000013
6903,149.805,231.33886800000008
4087,3916.2356,4631.018506
4562,2065.3116,3537.035868000002
8222,3029.39,4129.924109999999
7660,788.3072,723.3584100000002
5571,2566.659,2550.8529080000026
8407,575.2512,2437.207506
4983,1464.76,3298.5529659999993
7703,617.8624,280.3484059999999
1183,792.302,1177.2409280000004
794,505.3422,829.0341860000002
5903,1470.0864,2138.802603999998
8468,467.3916,1483.7286419999987
6223,551.2824,2587.565119999999
7250,154.4656,256.719164
7145,885.514,1698.881912
2485,633.8416,1311.752502000001
789,1783.6782,1610.7433080000005
233,2603.278,2333.6689480000023
8242,605.878,1548.1581079999999
429,848.895,661.5788279999992
1978,447.4176,1038.1486499999999
3092,3315.0182,4257.098568000002
1281,4264.449,2027.334368
2115,934.7832,846.4381980000002
6250,3178.5292,2103.9146840000003
17,718.3982,873.89579
3204,311.5944,246.45918600000002
8115,579.246,619.4403460000001
6706,1506.0396,2127.2509739999973
453,978.726,2765.9662300000014
2647,1038.648,1902.0507820000005
5706,701.7532,688.896602
6280,2614.5966,4478.323934000003
7933,552.614,898.9631600000004
6592,170.4448,385.05877200000003
5487,1366.2216,2671.8354259999996
239,241.6854,1966.114058
2522,2396.88,2903.1609780000003
7787,2652.5472,2488.0945999999985
5525,830.9184,614.7930619999997
3238,4950.8888,3820.8331180000014
8325,771.6622,609.6863759999994
212,2636.568,3472.040471999999
1427,1347.5792,740.0100679999999
5414,150.4708,322.07409200000006
6119,4566.0564,3274.1181060000004
7814,1311.626,2452.0681620000028
6758,1508.037,1099.375618
2684,1335.5948,1503.0435000000007
1313,1901.5248,3066.701432
33,2174.5028,1233.9404559999996
5780,1379.5376,2797.4252799999995
2999,2141.2128,2858.4857980000006
3428,552.614,822.6891119999999
3231,3266.4148,4637.237078000002
5744,3920.2304,3406.7587819999962
5382,3020.0688,2272.20895
7433,3896.2616,3494.271533999998
318,3877.6192,2689.8852639999996
1328,5321.0736,2704.0734620000017
221,1416.8224,2238.7924480000015
4879,2752.4172,3863.0048899999992
8263,4036.7454,3000.281224
5990,1547.3192,5488.322559999993
7426,1406.1696,1192.7806999999996
8032,1194.4452,1031.0911700000006
4525,1895.5326,1973.624282
7652,1062.6168,794.4991400000005
1195,1166.4816,754.1916080000001
766,379.506,689.8087480000002
2246,293.6178,649.4080039999997
2441,1332.9316,1614.5383679999986
4925,47.2718,115.210032
3050,3761.77,2854.291258
625,1691.7978,5020.837748000002
7203,3616.6256,3557.922014
730,886.8456,556.4090599999998
2067,1518.024,2718.521321999998
1598,1225.072,837.423266
7623,739.038,1063.6887380000005
2372,3803.0496,3439.9622280000012
7681,575.2512,857.2774219999995
3244,722.393,1531.7594540000002
3085,607.2096,779.0525800000006
5213,3251.7672,2072.761902000001
457,1957.452,1614.9311899999996
4690,966.7416,2495.977672000001
4560,181.0976,373.85335800000007
940,735.709,687.3053399999997
2589,6796.4864,5601.928014000004
3768,207.0638,542.9266099999998
4561,2183.824,1921.8117259999988
7071,5070.7328,3778.148679999998
4840,1161.1552,2449.6579659999984
1323,3374.2744,3238.7707839999975
8415,2490.092,2503.993903999999
8260,410.1328,821.8102559999998
6304,5163.9448,3765.471847999999
6379,2013.3792,1895.892132000001
4693,197.0768,428.39569400000005
1803,3677.2134,3064.9304040000015
6610,758.3462,829.4070340000002
4094,7064.8038,4036.7786900000024
7567,395.4852,739.4840860000004
5064,2386.2272,873.1833839999996
8456,487.3656,1544.968925999999
5653,3769.7596,2799.0831220000005
7722,1593.9252,1980.1424639999987
4721,1145.176,2043.8262339999992
2473,367.5216,2712.016455999999
7506,2736.438,4156.569425999999
2521,4234.488,3045.955104
19,2748.4224,3952.8745739999977
2648,6306.4576,4587.375316000001
2802,3644.5892,5150.282583999997
2301,1864.24,1423.2340540000002
8267,2567.3248,2555.04079
1090,1765.7016,2998.1440059999986
2199,2616.594,2543.628978
6850,3016.7398,2705.012239999998
4745,3361.6242,3152.6295799999994
5405,2929.52,3264.310871999998
1888,2984.1156,2018.9852359999993
833,181.7634,383.8004100000001
1111,705.748,536.9210940000005
3412,1168.479,1336.4337080000012
3590,6641.355,3313.7731539999995
7309,193.082,259.4622600000001
3836,1743.0644,2384.502778
487,75.2354,145.92338599999997
6569,7105.4176,5398.719196000004
3143,1845.5976,1780.8086019999996
2517,1326.2736,3810.266872000002
3948,131.8284,106.56128999999993
8,1076.5986,1790.4294119999997
1721,3261.7542,1934.1623159999995
2988,843.5686,1802.6068939999986
5209,1948.1308,2735.5791180000006
6663,199.74,504.1171280000003
965,5469.547,5383.771986000003
623,647.8234,1175.9692499999996
5840,1446.1176,1620.2842219999993
1438,1885.5456,1823.679464
7854,3635.268,2864.331522
5785,1584.604,1516.5525820000005
6382,2059.9852,1941.992124000001
3114,459.402,514.5302400000002
1606,1904.188,3248.984155999998
6214,1410.8302,2660.3170859999996
5909,2404.2038,1646.130578
1559,3554.7062,3189.441661999998
1593,4514.124,3569.440353999999
1277,874.8612,830.7918980000004
7759,1775.6886,630.4726520000002
712,226.372,149.32562399999995
2874,1518.024,1771.4075060000011
811,2868.9322,2520.425848
3358,2460.7968,1900.772446
5466,3199.169,2542.896598
5509,181.0976,364.452262
461,759.012,540.6495739999993
5090,1895.5326,3707.926754
1731,834.9132,389.9590599999999
2698,1395.5168,1160.3362660000003
6629,2418.1856,2201.1614320000003
