,y_test,prediction
7503,1743.0644,1345.2669813144234
2957,356.8688,780.0733816154725
7031,377.5086,817.1123935382919
1084,5778.4782,4228.314508488546
856,2356.932,3276.4234455552087
4304,865.54,574.9501885072835
2132,4613.994,4752.377836191399
1385,2410.8618,2050.460196293889
5239,1948.1308,1393.6664178011115
6516,1937.478,2783.558924587398
4509,210.3928,-218.37892309256375
1670,255.0014,2089.734654254737
4313,4541.4218,3873.234370150757
1623,657.8104,949.1533298821375
5220,578.5802,828.3068593333296
6753,4229.1616,4271.625423448761
315,1267.0174,1893.23411244099
3524,2388.8904,1754.5708452755644
7716,1797.66,1910.7082008370294
2083,4447.544,3239.262548902315
4463,2570.6538,3196.868813844228
4411,1779.6834,2691.031322428563
2112,4211.185,2957.216119679295
1057,3912.2408,2443.44407857747
868,2366.919,4166.992197371322
700,1298.31,2263.3576849622227
6903,149.805,676.2488055817433
4087,3916.2356,3727.120730565618
4562,2065.3116,3124.018492635913
8222,3029.39,3825.2709304962627
7660,788.3072,890.584334680631
5571,2566.659,2824.233294984145
8407,575.2512,2325.5673356688067
4983,1464.76,3045.1376903368487
7703,617.8624,590.2021124823199
1183,792.302,1422.7269965975709
794,505.3422,868.0674279772169
5903,1470.0864,1965.7927229636512
8468,467.3916,1357.0435675297833
6223,551.2824,2961.9300306820637
7250,154.4656,-677.9605027138242
7145,885.514,2136.8720739638484
2485,633.8416,1513.403695877119
789,1783.6782,1571.1448350494998
233,2603.278,2542.9944773428556
8242,605.878,1429.7539015363413
429,848.895,843.6177988295133
1978,447.4176,1004.6762901276431
3092,3315.0182,4068.172913344979
1281,4264.449,2096.1494800667833
2115,934.7832,874.5503233415286
6250,3178.5292,2309.5038709927044
17,718.3982,1054.8954195182534
3204,311.5944,-1051.6584961549313
8115,579.246,667.1584416192973
6706,1506.0396,1920.2785729839497
453,978.726,3144.18605485504
2647,1038.648,2144.9117571908005
5706,701.7532,685.150176056209
6280,2614.5966,3859.9787890699695
7933,552.614,994.4565466261472
6592,170.4448,720.3147187503497
5487,1366.2216,2490.370077122986
239,241.6854,2752.34532685514
2522,2396.88,3378.7531199588702
7787,2652.5472,2699.937949410063
5525,830.9184,869.1399971936733
3238,4950.8888,3608.6089520450687
8325,771.6622,730.6457195859683
212,2636.568,4304.3281660382145
1427,1347.5792,1046.5204065255796
5414,150.4708,483.84533911118194
6119,4566.0564,4072.897084128159
7814,1311.626,2184.7550896292855
6758,1508.037,1653.1109847875073
2684,1335.5948,1331.4610757497103
1313,1901.5248,2886.414703020073
33,2174.5028,1548.0611477157906
5780,1379.5376,2912.8234566201654
2999,2141.2128,2907.0323153284294
3428,552.614,934.9203284467483
3231,3266.4148,3843.9163983996864
5744,3920.2304,3985.4461814733017
5382,3020.0688,2856.6229776446826
7433,3896.2616,2945.6872676312505
318,3877.6192,2358.300839412421
1328,5321.0736,3456.833314310389
221,1416.8224,1513.5712162519208
4879,2752.4172,3435.5129488623447
8263,4036.7454,3032.122473663755
5990,1547.3192,5005.0593933315695
7426,1406.1696,1133.9158868087286
8032,1194.4452,931.4568595666142
4525,1895.5326,2460.1422452429983
7652,1062.6168,911.8644199574011
1195,1166.4816,970.2213741569365
766,379.506,1069.6332098368703
2246,293.6178,734.3953662882124
2441,1332.9316,1305.7203360111769
4925,47.2718,-1226.4941474965099
3050,3761.77,2405.203321989273
625,1691.7978,3889.568043712133
7203,3616.6256,3832.478078100183
730,886.8456,810.1756040187851
2067,1518.024,2432.5399452356332
1598,1225.072,1171.1111657624156
7623,739.038,1296.5106303530595
2372,3803.0496,2900.083472800966
7681,575.2512,780.7149769236925
3244,722.393,1737.2890056783401
3085,607.2096,526.743543269936
5213,3251.7672,2393.7221617560517
457,1957.452,1592.78385898036
4690,966.7416,2984.14767603818
4560,181.0976,941.0311719824847
940,735.709,729.2251590753082
2589,6796.4864,5158.892788899353
3768,207.0638,1429.1709921596857
4561,2183.824,1784.8990331217062
7071,5070.7328,2892.4791115467933
4840,1161.1552,2008.4833950832872
1323,3374.2744,3783.805818168495
8415,2490.092,2360.2243771906537
8260,410.1328,1065.793023021426
6304,5163.9448,2897.2205688372496
6379,2013.3792,1864.7667593780147
4693,197.0768,-271.63848687081247
1803,3677.2134,2890.788349263854
6610,758.3462,745.0970884068953
4094,7064.8038,4225.21703351411
7567,395.4852,1302.7009124450874
5064,2386.2272,1269.8132175519977
8456,487.3656,2043.2416767202108
5653,3769.7596,3219.91486741642
7722,1593.9252,1905.8057027335676
4721,1145.176,2348.108481304156
2473,367.5216,2040.3598515837375
7506,2736.438,2889.1638853006034
2521,4234.488,2953.4849517100506
19,2748.4224,3610.276546647681
2648,6306.4576,4618.357658637161
2802,3644.5892,4184.035422038467
2301,1864.24,1645.3249329221217
8267,2567.3248,2650.563976591639
1090,1765.7016,2448.5413000645813
2199,2616.594,2869.9192210203832
6850,3016.7398,2146.312859627318
